"id","candidate_id","resume_id","name","receive_date","expire_date","image"
1,101,,TOEIC 700,"2021-09-25",,
2,101,,Tiếng Nhật N3,"2022-09-25",,
3,102,,TOEIC 700,"2021-09-25",,
4,102,,Tiếng Nhật N3,"2022-09-25",,
5,103,,TOEIC 700,"2021-09-25",,
6,103,,Tiếng Nhật N3,"2022-09-25",,
7,104,,TOEIC 700,"2021-09-25",,
8,105,,TOEIC 700,"2021-09-25",,
9,106,,TOEIC 700,"2021-09-25",,
10,107,,TOEIC 700,"2021-09-25",,
11,108,,TOEIC 700,"2021-09-25",,
12,109,,TOEIC 700,"2021-09-25",,
13,110,,TOEIC 700,"2021-09-25",,
14,111,,TOEIC 700,"2021-09-25",,
15,112,,TOEIC 700,"2021-09-25",,
16,113,,TOEIC 700,"2021-09-25",,
17,114,,TOEIC 700,"2021-09-25",,
18,115,,TOEIC 700,"2021-09-25",,
19,116,,TOEIC 700,"2021-09-25",,
20,117,,TOEIC 700,"2021-09-25",,
21,118,,TOEIC 700,"2021-09-25",,
22,119,,TOEIC 700,"2021-09-25",,
23,120,,TOEIC 700,"2021-09-25",,
24,121,,TOEIC 700,"2021-09-25",,
25,122,,TOEIC 700,"2021-09-25",,
26,123,,TOEIC 700,"2021-09-25",,
27,124,,TOEIC 700,"2021-09-25",,
28,125,,TOEIC 700,"2021-09-25",,
29,126,,TOEIC 700,"2021-09-25",,
30,127,,TOEIC 700,"2021-09-25",,
31,128,,TOEIC 700,"2021-09-25",,
32,129,,TOEIC 700,"2021-09-25",,
33,130,,TOEIC 700,"2021-09-25",,
34,131,,TOEIC 700,"2021-09-25",,
35,132,,TOEIC 700,"2021-09-25",,
36,133,,TOEIC 700,"2021-09-25",,
37,134,,TOEIC 700,"2021-09-25",,
38,101,1,TOEIC 700,"2021-09-25",,
39,101,1,Tiếng Nhật N3,"2022-09-25",,
40,102,2,TOEIC 700,"2021-09-25",,
41,102,2,Tiếng Nhật N3,"2022-09-25",,
42,103,3,TOEIC 700,"2021-09-25",,
43,103,3,Tiếng Nhật N3,"2022-09-25",,
44,104,4,TOEIC 700,"2021-09-25",,
45,105,5,TOEIC 700,"2021-09-25",,
46,106,6,TOEIC 700,"2021-09-25",,
47,107,7,TOEIC 700,"2021-09-25",,
48,108,8,TOEIC 700,"2021-09-25",,
49,109,9,TOEIC 700,"2021-09-25",,
50,110,10,TOEIC 700,"2021-09-25",,
51,111,11,TOEIC 700,"2021-09-25",,
52,112,12,TOEIC 700,"2021-09-25",,
53,113,13,TOEIC 700,"2021-09-25",,
54,114,14,TOEIC 700,"2021-09-25",,
55,115,15,TOEIC 700,"2021-09-25",,
56,116,16,TOEIC 700,"2021-09-25",,
57,117,17,TOEIC 700,"2021-09-25",,
58,118,18,TOEIC 700,"2021-09-25",,
59,119,19,TOEIC 700,"2021-09-25",,
60,120,20,TOEIC 700,"2021-09-25",,
61,121,21,TOEIC 700,"2021-09-25",,
62,122,22,TOEIC 700,"2021-09-25",,
63,123,23,TOEIC 700,"2021-09-25",,
64,124,24,TOEIC 700,"2021-09-25",,
65,125,25,TOEIC 700,"2021-09-25",,
66,126,26,TOEIC 700,"2021-09-25",,
67,127,27,TOEIC 700,"2021-09-25",,
68,128,28,TOEIC 700,"2021-09-25",,
69,129,29,TOEIC 700,"2021-09-25",,
70,130,30,TOEIC 700,"2021-09-25",,
71,131,31,TOEIC 700,"2021-09-25",,
72,132,32,TOEIC 700,"2021-09-25",,
73,133,33,TOEIC 700,"2021-09-25",,
74,134,34,TOEIC 700,"2021-09-25",,
